query_id,query_text,category,complexity_level,paraphrase_group_id,is_standard_wording,expected_functions,gt_calls,answer_spec,expected_arguments
q01,Which floors can I query for this building?,metadata,L1,g01,True,['list_queryable_floors'],"[{'function': 'list_queryable_floors', 'arguments': {}}]","{'kind': 'list', 'field': 'name'}",{}
q02,What floors are available?,metadata,L1,g01,False,['list_queryable_floors'],"[{'function': 'list_queryable_floors', 'arguments': {}}]","{'kind': 'list', 'field': 'name'}",{}
q03,Show me the storeys in this facility.,metadata,L1,g01,False,['list_queryable_floors'],"[{'function': 'list_queryable_floors', 'arguments': {}}]","{'kind': 'list', 'field': 'name'}",{}
q04,What component types are available?,metadata,L1,g02,True,['list_queryable_component_types'],"[{'function': 'list_queryable_component_types', 'arguments': {}}]",{'kind': 'any'},{}
q05,Which BIM element types can I ask about?,metadata,L1,g02,False,['list_queryable_component_types'],"[{'function': 'list_queryable_component_types', 'arguments': {}}]",{'kind': 'any'},{}
q06,What asset component categories exist?,metadata,L1,g02,False,['list_queryable_component_types'],"[{'function': 'list_queryable_component_types', 'arguments': {}}]",{'kind': 'any'},{}
q07,What can this assistant help me with?,metadata,L1,g03,True,['get_database_capabilities'],"[{'function': 'get_database_capabilities', 'arguments': {}}]",{'kind': 'any'},{}
q08,What kinds of questions can you answer?,metadata,L1,g03,False,['get_database_capabilities'],"[{'function': 'get_database_capabilities', 'arguments': {}}]",{'kind': 'any'},{}
q09,How many windows are on the second floor?,counting,L2,g04,True,['count_components'],"[{'function': 'count_components', 'arguments': {'component_type': 'IfcWindow', 'floor': '2. Obergeschoss'}}]","{'kind': 'number', 'field': 'count'}","{'component_type': 'IfcWindow', 'floor': '2. Obergeschoss'}"
q10,Count the windows on level two.,counting,L2,g04,False,['count_components'],"[{'function': 'count_components', 'arguments': {'component_type': 'IfcWindow', 'floor': '2. Obergeschoss'}}]","{'kind': 'number', 'field': 'count'}","{'component_type': 'IfcWindow', 'floor': '2. Obergeschoss'}"
q11,What is the number of window elements on the second upper floor?,counting,L2,g04,False,['count_components'],"[{'function': 'count_components', 'arguments': {'component_type': 'IfcWindow', 'floor': '2. Obergeschoss'}}]","{'kind': 'number', 'field': 'count'}","{'component_type': 'IfcWindow', 'floor': '2. Obergeschoss'}"
q12,How many doors does the building have in total?,counting,L2,g05,True,['count_components'],"[{'function': 'count_components', 'arguments': {'component_type': 'IfcDoor'}}]","{'kind': 'number', 'field': 'count'}",{'component_type': 'IfcDoor'}
q13,Count all doors in the facility.,counting,L2,g05,False,['count_components'],"[{'function': 'count_components', 'arguments': {'component_type': 'IfcDoor'}}]","{'kind': 'number', 'field': 'count'}",{'component_type': 'IfcDoor'}
q14,What is the total number of door components?,counting,L2,g05,False,['count_components'],"[{'function': 'count_components', 'arguments': {'component_type': 'IfcDoor'}}]","{'kind': 'number', 'field': 'count'}",{'component_type': 'IfcDoor'}
q15,How many windows are on the ground floor?,counting,L2,g06,True,['count_components'],"[{'function': 'count_components', 'arguments': {'component_type': 'IfcWindow', 'floor': 'Erdgeschoss'}}]","{'kind': 'number', 'field': 'count'}","{'component_type': 'IfcWindow', 'floor': 'Erdgeschoss'}"
q16,Count the windows on the Erdgeschoss.,counting,L2,g06,False,['count_components'],"[{'function': 'count_components', 'arguments': {'component_type': 'IfcWindow', 'floor': 'Erdgeschoss'}}]","{'kind': 'number', 'field': 'count'}","{'component_type': 'IfcWindow', 'floor': 'Erdgeschoss'}"
q17,How many space heaters are on the first floor?,counting,L2,g07,True,['count_components'],"[{'function': 'count_components', 'arguments': {'component_type': 'IfcSpaceHeater', 'floor': '1. Obergeschoss'}}]","{'kind': 'number', 'field': 'count'}","{'component_type': 'IfcSpaceHeater', 'floor': '1. Obergeschoss'}"
q18,Count the radiators on the 1. Obergeschoss.,counting,L2,g07,False,['count_components'],"[{'function': 'count_components', 'arguments': {'component_type': 'IfcSpaceHeater', 'floor': '1. Obergeschoss'}}]","{'kind': 'number', 'field': 'count'}","{'component_type': 'IfcSpaceHeater', 'floor': '1. Obergeschoss'}"
q19,How many windows are there in total?,counting,L2,g08,True,['count_components'],"[{'function': 'count_components', 'arguments': {'component_type': 'IfcWindow'}}]","{'kind': 'number', 'field': 'count'}",{'component_type': 'IfcWindow'}
q20,What is the total window count for the building?,counting,L2,g08,False,['count_components'],"[{'function': 'count_components', 'arguments': {'component_type': 'IfcWindow'}}]","{'kind': 'number', 'field': 'count'}",{'component_type': 'IfcWindow'}
q21,How many columns does the building have?,counting,L2,g09,True,['count_components'],"[{'function': 'count_components', 'arguments': {'component_type': 'IfcColumn'}}]","{'kind': 'number', 'field': 'count'}",{'component_type': 'IfcColumn'}
q22,Count all the columns in the facility.,counting,L2,g09,False,['count_components'],"[{'function': 'count_components', 'arguments': {'component_type': 'IfcColumn'}}]","{'kind': 'number', 'field': 'count'}",{'component_type': 'IfcColumn'}
q23,How many doors are on the second floor?,counting,L2,g10,True,['count_components'],"[{'function': 'count_components', 'arguments': {'component_type': 'IfcDoor', 'floor': '2. Obergeschoss'}}]","{'kind': 'number', 'field': 'count'}","{'component_type': 'IfcDoor', 'floor': '2. Obergeschoss'}"
q24,Count the doors on level two.,counting,L2,g10,False,['count_components'],"[{'function': 'count_components', 'arguments': {'component_type': 'IfcDoor', 'floor': '2. Obergeschoss'}}]","{'kind': 'number', 'field': 'count'}","{'component_type': 'IfcDoor', 'floor': '2. Obergeschoss'}"
q25,How many windows are on the first floor?,counting,L2,g11,True,['count_components'],"[{'function': 'count_components', 'arguments': {'component_type': 'IfcWindow', 'floor': '1. Obergeschoss'}}]","{'kind': 'number', 'field': 'count'}","{'component_type': 'IfcWindow', 'floor': '1. Obergeschoss'}"
q26,Count the windows on the 1. Obergeschoss.,counting,L2,g11,False,['count_components'],"[{'function': 'count_components', 'arguments': {'component_type': 'IfcWindow', 'floor': '1. Obergeschoss'}}]","{'kind': 'number', 'field': 'count'}","{'component_type': 'IfcWindow', 'floor': '1. Obergeschoss'}"
q27,How many sensors does the building have?,counting,L2,g12,True,['count_components'],"[{'function': 'count_components', 'arguments': {'component_type': 'IfcSensor'}}]","{'kind': 'number', 'field': 'count'}",{'component_type': 'IfcSensor'}
q28,Count all sensors in the facility.,counting,L2,g12,False,['count_components'],"[{'function': 'count_components', 'arguments': {'component_type': 'IfcSensor'}}]","{'kind': 'number', 'field': 'count'}",{'component_type': 'IfcSensor'}
q29,What are the heights and widths of the windows on the second floor?,attribute,L2,g13,True,['get_component_attributes'],"[{'function': 'get_component_attributes', 'arguments': {'component_type': 'IfcWindow', 'floor': '2. Obergeschoss', 'attributes': ['height', 'width']}}]",{'kind': 'result_count'},"{'component_type': 'IfcWindow', 'floor': '2. Obergeschoss'}"
q30,Show me the dimensions of windows on level two.,attribute,L2,g13,False,['get_component_attributes'],"[{'function': 'get_component_attributes', 'arguments': {'component_type': 'IfcWindow', 'floor': '2. Obergeschoss', 'attributes': ['height', 'width']}}]",{'kind': 'result_count'},"{'component_type': 'IfcWindow', 'floor': '2. Obergeschoss'}"
q31,What are the dimensions of the doors on the ground floor?,attribute,L2,g14,True,['get_component_attributes'],"[{'function': 'get_component_attributes', 'arguments': {'component_type': 'IfcDoor', 'floor': 'Erdgeschoss', 'attributes': ['height', 'width']}}]",{'kind': 'result_count'},"{'component_type': 'IfcDoor', 'floor': 'Erdgeschoss'}"
q32,Show me the height and width of doors in the Erdgeschoss.,attribute,L2,g14,False,['get_component_attributes'],"[{'function': 'get_component_attributes', 'arguments': {'component_type': 'IfcDoor', 'floor': 'Erdgeschoss', 'attributes': ['height', 'width']}}]",{'kind': 'result_count'},"{'component_type': 'IfcDoor', 'floor': 'Erdgeschoss'}"
q33,What is the total window area in the building?,aggregation,L3,g15,True,['calculate_total_component_area'],"[{'function': 'calculate_total_component_area', 'arguments': {'component_type': 'IfcWindow'}}]","{'kind': 'number', 'field': 'total_area', 'tol': 1.0}",{'component_type': 'IfcWindow'}
q34,Calculate the overall area of all windows.,aggregation,L3,g15,False,['calculate_total_component_area'],"[{'function': 'calculate_total_component_area', 'arguments': {'component_type': 'IfcWindow'}}]","{'kind': 'number', 'field': 'total_area', 'tol': 1.0}",{'component_type': 'IfcWindow'}
q35,What is the total window area on the second floor?,aggregation,L3,g16,True,['calculate_total_component_area'],"[{'function': 'calculate_total_component_area', 'arguments': {'component_type': 'IfcWindow', 'floor': '2. Obergeschoss'}}]","{'kind': 'number', 'field': 'total_area', 'tol': 1.0}","{'component_type': 'IfcWindow', 'floor': '2. Obergeschoss'}"
q36,Calculate the window area on level two.,aggregation,L3,g16,False,['calculate_total_component_area'],"[{'function': 'calculate_total_component_area', 'arguments': {'component_type': 'IfcWindow', 'floor': '2. Obergeschoss'}}]","{'kind': 'number', 'field': 'total_area', 'tol': 1.0}","{'component_type': 'IfcWindow', 'floor': '2. Obergeschoss'}"
q37,What is the total door area in the building?,aggregation,L3,g17,True,['calculate_total_component_area'],"[{'function': 'calculate_total_component_area', 'arguments': {'component_type': 'IfcDoor'}}]","{'kind': 'number', 'field': 'total_area', 'tol': 1.0}",{'component_type': 'IfcDoor'}
q38,Calculate the combined area of all doors.,aggregation,L3,g17,False,['calculate_total_component_area'],"[{'function': 'calculate_total_component_area', 'arguments': {'component_type': 'IfcDoor'}}]","{'kind': 'number', 'field': 'total_area', 'tol': 1.0}",{'component_type': 'IfcDoor'}
q39,What is the total window area on the first floor?,aggregation,L3,g18,True,['calculate_total_component_area'],"[{'function': 'calculate_total_component_area', 'arguments': {'component_type': 'IfcWindow', 'floor': '1. Obergeschoss'}}]","{'kind': 'number', 'field': 'total_area', 'tol': 1.0}","{'component_type': 'IfcWindow', 'floor': '1. Obergeschoss'}"
q40,Calculate the window area on level one.,aggregation,L3,g18,False,['calculate_total_component_area'],"[{'function': 'calculate_total_component_area', 'arguments': {'component_type': 'IfcWindow', 'floor': '1. Obergeschoss'}}]","{'kind': 'number', 'field': 'total_area', 'tol': 1.0}","{'component_type': 'IfcWindow', 'floor': '1. Obergeschoss'}"
q41,What is the floor area of the ground floor?,aggregation,L3,g19,True,['calculate_floor_area'],"[{'function': 'calculate_floor_area', 'arguments': {'floor': 'Erdgeschoss'}}]","{'kind': 'number', 'field': 'gross_area', 'tol': 1.0}",{'floor': 'Erdgeschoss'}
q42,How big is the Erdgeschoss?,aggregation,L3,g19,False,['calculate_floor_area'],"[{'function': 'calculate_floor_area', 'arguments': {'floor': 'Erdgeschoss'}}]","{'kind': 'number', 'field': 'gross_area', 'tol': 1.0}",{'floor': 'Erdgeschoss'}
q43,What is the floor area of the first floor?,aggregation,L3,g20,True,['calculate_floor_area'],"[{'function': 'calculate_floor_area', 'arguments': {'floor': '1. Obergeschoss'}}]","{'kind': 'number', 'field': 'gross_area', 'tol': 1.0}",{'floor': '1. Obergeschoss'}
q44,How many square metres is the 1. Obergeschoss?,aggregation,L3,g20,False,['calculate_floor_area'],"[{'function': 'calculate_floor_area', 'arguments': {'floor': '1. Obergeschoss'}}]","{'kind': 'number', 'field': 'gross_area', 'tol': 1.0}",{'floor': '1. Obergeschoss'}
q45,Are there more windows on the first or the second upper floor?,multistep,L4,g21,True,['count_components'],"[{'function': 'count_components', 'arguments': {'component_type': 'IfcWindow', 'floor': '1. Obergeschoss'}}, {'function': 'count_components', 'arguments': {'component_type': 'IfcWindow', 'floor': '2. Obergeschoss'}}]","{'kind': 'compare_winner', 'field': 'count', 'floor_key': 'floor'}",{}
q46,Compare window counts between the first and second floor.,multistep,L4,g21,False,['count_components'],"[{'function': 'count_components', 'arguments': {'component_type': 'IfcWindow', 'floor': '1. Obergeschoss'}}, {'function': 'count_components', 'arguments': {'component_type': 'IfcWindow', 'floor': '2. Obergeschoss'}}]","{'kind': 'compare_winner', 'field': 'count', 'floor_key': 'floor'}",{}
q47,"Which has more windows, level one or level two?",multistep,L4,g21,False,['count_components'],"[{'function': 'count_components', 'arguments': {'component_type': 'IfcWindow', 'floor': '1. Obergeschoss'}}, {'function': 'count_components', 'arguments': {'component_type': 'IfcWindow', 'floor': '2. Obergeschoss'}}]","{'kind': 'compare_winner', 'field': 'count', 'floor_key': 'floor'}",{}
q48,Are there more doors on the ground floor or the second floor?,multistep,L4,g22,True,['count_components'],"[{'function': 'count_components', 'arguments': {'component_type': 'IfcDoor', 'floor': 'Erdgeschoss'}}, {'function': 'count_components', 'arguments': {'component_type': 'IfcDoor', 'floor': '2. Obergeschoss'}}]","{'kind': 'compare_winner', 'field': 'count', 'floor_key': 'floor'}",{}
q49,Compare the number of doors between the Erdgeschoss and level two.,multistep,L4,g22,False,['count_components'],"[{'function': 'count_components', 'arguments': {'component_type': 'IfcDoor', 'floor': 'Erdgeschoss'}}, {'function': 'count_components', 'arguments': {'component_type': 'IfcDoor', 'floor': '2. Obergeschoss'}}]","{'kind': 'compare_winner', 'field': 'count', 'floor_key': 'floor'}",{}
q50,Is the window area larger on the first or the second floor?,multistep,L4,g23,True,['calculate_total_component_area'],"[{'function': 'calculate_total_component_area', 'arguments': {'component_type': 'IfcWindow', 'floor': '1. Obergeschoss'}}, {'function': 'calculate_total_component_area', 'arguments': {'component_type': 'IfcWindow', 'floor': '2. Obergeschoss'}}]","{'kind': 'compare_winner', 'field': 'total_area', 'floor_key': 'floor'}",{}
q51,Compare the window area between level one and level two.,multistep,L4,g23,False,['calculate_total_component_area'],"[{'function': 'calculate_total_component_area', 'arguments': {'component_type': 'IfcWindow', 'floor': '1. Obergeschoss'}}, {'function': 'calculate_total_component_area', 'arguments': {'component_type': 'IfcWindow', 'floor': '2. Obergeschoss'}}]","{'kind': 'compare_winner', 'field': 'total_area', 'floor_key': 'floor'}",{}
q52,"Which floor has more window surface, the first or second upper floor?",multistep,L4,g23,False,['calculate_total_component_area'],"[{'function': 'calculate_total_component_area', 'arguments': {'component_type': 'IfcWindow', 'floor': '1. Obergeschoss'}}, {'function': 'calculate_total_component_area', 'arguments': {'component_type': 'IfcWindow', 'floor': '2. Obergeschoss'}}]","{'kind': 'compare_winner', 'field': 'total_area', 'floor_key': 'floor'}",{}
q53,Which floor has the largest total window area?,multistep,L4,g24,True,['calculate_area_by_floor'],"[{'function': 'calculate_area_by_floor', 'arguments': {'component_type': 'IfcWindow'}}]","{'kind': 'max_floor', 'by': 'by_floor', 'value': 'total_area', 'label': 'floor'}",{}
q54,Where is the biggest amount of window area?,multistep,L4,g24,False,['calculate_area_by_floor'],"[{'function': 'calculate_area_by_floor', 'arguments': {'component_type': 'IfcWindow'}}]","{'kind': 'max_floor', 'by': 'by_floor', 'value': 'total_area', 'label': 'floor'}",{}
