query_id,query_text,category,complexity_level,paraphrase_group_id,is_standard_wording,answer_kind,answer_tolerance,execution_ok,note,expected_functions,expected_arguments,expected_answer_values
q01,Which floors can I query for this building?,metadata,L1,g01,True,list,0.0,True,,"[""list_queryable_floors""]",{},"[""Untergeschoss"", ""Erdgeschoss"", ""1. Obergeschoss"", ""2. Obergeschoss"", ""Dachgeschoss""]"
q02,What floors are available?,metadata,L1,g01,False,list,0.0,True,,"[""list_queryable_floors""]",{},"[""Untergeschoss"", ""Erdgeschoss"", ""1. Obergeschoss"", ""2. Obergeschoss"", ""Dachgeschoss""]"
q03,Show me the storeys in this facility.,metadata,L1,g01,False,list,0.0,True,,"[""list_queryable_floors""]",{},"[""Untergeschoss"", ""Erdgeschoss"", ""1. Obergeschoss"", ""2. Obergeschoss"", ""Dachgeschoss""]"
q04,What component types are available?,metadata,L1,g02,True,any,0.0,True,,"[""list_queryable_component_types""]",{},[]
q05,Which BIM element types can I ask about?,metadata,L1,g02,False,any,0.0,True,,"[""list_queryable_component_types""]",{},[]
q06,What asset component categories exist?,metadata,L1,g02,False,any,0.0,True,,"[""list_queryable_component_types""]",{},[]
q07,What can this assistant help me with?,metadata,L1,g03,True,any,0.0,True,,"[""get_database_capabilities""]",{},[]
q08,What kinds of questions can you answer?,metadata,L1,g03,False,any,0.0,True,,"[""get_database_capabilities""]",{},[]
q09,How many windows are on the second floor?,counting,L2,g04,True,number,0.0,True,,"[""count_components""]","{""component_type"": ""IfcWindow"", ""floor"": ""2. Obergeschoss""}",[52]
q10,Count the windows on level two.,counting,L2,g04,False,number,0.0,True,,"[""count_components""]","{""component_type"": ""IfcWindow"", ""floor"": ""2. Obergeschoss""}",[52]
q11,What is the number of window elements on the second upper floor?,counting,L2,g04,False,number,0.0,True,,"[""count_components""]","{""component_type"": ""IfcWindow"", ""floor"": ""2. Obergeschoss""}",[52]
q12,How many doors does the building have in total?,counting,L2,g05,True,number,0.0,True,,"[""count_components""]","{""component_type"": ""IfcDoor""}",[123]
q13,Count all doors in the facility.,counting,L2,g05,False,number,0.0,True,,"[""count_components""]","{""component_type"": ""IfcDoor""}",[123]
q14,What is the total number of door components?,counting,L2,g05,False,number,0.0,True,,"[""count_components""]","{""component_type"": ""IfcDoor""}",[123]
q15,How many windows are on the ground floor?,counting,L2,g06,True,number,0.0,True,,"[""count_components""]","{""component_type"": ""IfcWindow"", ""floor"": ""Erdgeschoss""}",[16]
q16,Count the windows on the Erdgeschoss.,counting,L2,g06,False,number,0.0,True,,"[""count_components""]","{""component_type"": ""IfcWindow"", ""floor"": ""Erdgeschoss""}",[16]
q17,How many space heaters are on the first floor?,counting,L2,g07,True,number,0.0,True,,"[""count_components""]","{""component_type"": ""IfcSpaceHeater"", ""floor"": ""1. Obergeschoss""}",[24]
q18,Count the radiators on the 1. Obergeschoss.,counting,L2,g07,False,number,0.0,True,,"[""count_components""]","{""component_type"": ""IfcSpaceHeater"", ""floor"": ""1. Obergeschoss""}",[24]
